classification,x_ratio,y_ratio
AGN,1.0489817669897188,-0.10441973654026335
SBG,0.11909323129598078,0.09717241188666664
AGN,1.7287056899154412,0.8130217486982572
SBG,0.10101676598251888,-0.3938234663907499
AGN,0.07917188411231912,2.4017331292154216
SBG,-0.593074132851494,-0.48882395590193284
SBG,0.05967040642006079,-0.21125753125184013
AGN,1.455727661108723,0.6571600294998122
SBG,0.7127482450258117,0.058230257609887315
AGN,0.8411520499004085,0.6182046854956424
SBG,0.030909263929197465,-0.20170833258068094
AGN,0.790613158536851,0.8394261532147014
SBG,-0.09410986121744971,-1.106815796773653
SBG,0.37437243415239396,-0.3834134346453594
SBG,-0.3837544189296006,-0.40836798340890024
SBG,-0.2338244411954971,-0.25963123563499046
SBG,0.1570182965638426,-0.6502186800173291
SBG,-0.45929261346656547,-1.8078127500669467
SBG,0.5933236319563008,-0.3002554419985851
AGN,1.2915968338959796,1.5664458408242128
SBG,0.43124440878605796,-0.11175879958793532
SBG,0.09558984490822202,-0.6503986600763947
SBG,-0.57615070523515,0.10981519155681797
AGN,1.1996423871744222,2.052834336482254
SBG,0.26479028339080907,-0.26009809897579567
SBG,-0.6956184625296129,-0.5817015959556174
AGN,0.34464732058847514,1.92923485604957
SBG,0.6010107559770141,-0.9369764078353772
SBG,-0.15231424402611535,-0.3153703781287204
SBG,0.481015159418353,-0.4627118716054379
SBG,0.12447106522447848,0.3318095808295334
SBG,0.30622856391210257,0.3714361333113172
AGN,0.2638394380589269,0.7318709834622608
AGN,0.7755817030699739,0.8281713317057158
SBG,1.3619200963852516,-0.037399087579946685
SBG,0.39591268222339776,-0.35727529968610455
AGN,0.33671333619560034,0.7332142860092022
SBG,-0.15213000915885663,-0.28728575015986063
SBG,-0.28176425969525404,-0.2675254964753672
SBG,-0.4284478005171408,0.14716444957809324
SBG,-0.10295632462896322,0.05707981659705286
SBG,0.5379006960712726,-0.612314530340676
SBG,0.05717665678000479,-0.0871296081975614
SBG,0.808444245924331,-0.5646088419382044
SBG,-1.289102231443188,0.36293864718566143
SBG,0.05707732292087441,-0.5978527478080033
AGN,0.8705335734023695,0.1459687978306547
SBG,0.22170127340573112,0.011074411756012719
SBG,-0.3071625055421318,-0.9959533416888464
SBG,0.3892737336853397,0.03701089963940538
SBG,0.08331139980080922,-0.3739498493748927
AGN,1.211707938446809,0.8610794527665524
SBG,0.2794008245134223,-0.08027179380214015
SBG,-0.6008230980960811,-1.2329627229229232
SBG,0.7717950372854105,-0.2927710785605699
SBG,-0.1808560293979467,-0.9200099986053628
SBG,0.6156652144459425,-0.2731843518110272
SBG,0.09935533064496233,-0.14606866952341302
SBG,0.9044173948316443,-0.37203064776736605
SBG,-0.47713298302016593,-1.0562362434224062
SBG,0.3954039085144223,0.031820814489381205
SBG,-0.21936991762264935,0.5469754808566017
SBG,-0.2058835286192404,-0.6571352678997384
SBG,0.49198959641531015,-0.0565285313818454
SBG,-0.6651304306480504,-0.20508653515930844
AGN,0.4560507653833215,0.04606102284768691
SBG,-0.8499770647171812,0.1604048518173419
SBG,0.514382732902331,0.23021327004025086
SBG,-1.5126870578209433,0.12180761632052425
SBG,-0.6754094378459549,-0.7924920676167897
SBG,-0.3986777962277529,-0.05401751201485078
SBG,0.6009836857528403,-0.2752469406531079
SBG,-0.1253524346565861,-0.17431118137966964
SBG,-0.3780461925895957,-1.1588141824680218
SBG,-0.16610454275555364,-0.6479450690891723
SBG,-0.18365080105771608,-0.47405778253018716
SBG,-0.048048632850155516,0.05122925436503382
AGN,0.9493744993391973,0.05709137250721092
AGN,0.5269232181986796,0.8153809081313391
AGN,0.4601579563826067,0.4451033821180838
SBG,-0.22547420816703478,-0.18784444801645922
AGN,0.6816874697530387,0.9757153224700106
SBG,-0.47231848368712565,-0.8239190980208255
AGN,0.8491747797158972,0.8030136342025008
SBG,0.10230637489260702,-0.5229587874727001
SBG,-0.13082254926883577,-0.40649252872335745
SBG,-1.4456292917724753,-0.8904989880317784
AGN,1.3119868419900982,2.0608087789202716
SBG,-1.205967996655227,-0.6253928319247788
SBG,-0.2169670221196785,-0.4578725239554273
SBG,0.2364184779408243,0.18339890797823874
SBG,0.36317305212686773,-0.4571760034419616
SBG,0.3383248121749694,-0.17775202757240421
SBG,0.27083433762862097,-0.1287456125199104
SBG,0.1726985474386146,0.1754240605630356
AGN,-0.24835032383719205,1.0515395127447975
SBG,1.2380420583892044,0.3585375924148553
SBG,-0.15375195232034844,0.04181103107933866
SBG,-0.15814646532012722,-0.4304318032217901
SBG,0.11769605278065408,-0.21056674347477938
AGN,-0.5475752504376484,0.09478395731001442
SBG,-0.48055000798816344,-0.4568421661425197
SBG,-0.22670928558259998,-0.0797207656171684
SBG,0.026469840061879753,-0.2820020646640732
SBG,-2.3036061159368875,-0.27765529383535986
SBG,0.2628871886061988,0.20612620028733658
AGN,0.8057549663085464,0.7734857197930416
SBG,-0.11703237647693183,-0.23569307459818373
AGN,0.01206805614779064,0.21920723339020853
AGN,1.155353603967641,0.8018749123204275
SBG,0.09141617355193556,-1.0380436886809918
AGN,-0.3334958183177557,2.089402955490712
SBG,-1.0369143960511644,-0.5832133190418288
SBG,-1.338559212011603,-2.1894973336973624
SBG,0.6219757687373602,-0.7303197903615248
SBG,-0.3394550139725387,0.18628283133714385
SBG,0.011010241728174207,-0.11839479850618946
AGN,-0.06040663745669373,1.3792555635790222
AGN,-0.3181980010644895,0.28934858585087914
SBG,0.31943862021632285,0.007363970773527496
SBG,-0.5633862418031913,-0.6545890654663152
AGN,1.0357770148701013,0.5881047713392319
SBG,-0.6390498029407858,-0.27260274555243297
SBG,0.9429328910227345,-0.5875903527052954
SBG,0.2705095830512686,-0.429691975037005
AGN,1.3496889452188747,0.6299922219216129
SBG,-0.24942956046095188,-0.5224137329583967
SBG,-0.8250794944505312,-0.37578250364435495
AGN,-0.8781542015004701,1.1393003158391481
SBG,-0.570315270545625,-1.1239362019501602
SBG,-0.6479714542628956,-1.2457331017922306
SBG,0.3135755618247789,0.4749129492236438
SBG,-0.2448537737151725,-0.7518388045628804
AGN,0.885704954737407,0.4248734447164319
AGN,0.9062796713289653,1.7656700478067433
AGN,0.7616106036260001,0.7793448879591522
SBG,-1.1159877012884327,-0.04487397526742099
SBG,-0.6265374362304739,-0.9584864959117289
AGN,0.21446190527308295,1.1389247116166679
AGN,0.3330388674888484,0.4068196723197413
AGN,0.4403768329606838,0.1100399501118055
SBG,-0.06499992136862608,-0.4773655446085238
SBG,-0.6964712639560231,-0.26360392360108337
SBG,0.1313416975768864,-0.7002259737801598
SBG,0.5777152974965015,0.35599149431341043
AGN,0.8898486550710135,0.19560004707513107
SBG,0.28724268021632815,-0.3678622215797081
