classification,x_ratio,y_ratio,oii_3726_flux,h_beta_flux,oiii_5007_flux
AGN,0.31246180634791504,-0.10441973654026335,29.4736,21.56417,19.42602
SBG,1.0630395981681555,0.09717241188666664,101.8011,35.16254,38.75089
AGN,1.3630932676579646,0.8130217486982572,63.3793,16.21674,36.56406
SBG,-0.07073106571958598,-0.3938234663907499,43.16592,46.32966,31.24811
AGN,0.19270757902880495,2.4017331292154216,666.4535,549.6396,6069.284
SBG,-0.2658444629686314,-0.48882395590193284,5.403121,7.048545,4.323206
SBG,0.09055770316927048,-0.21125753125184013,17.1477,15.66308,12.68029
AGN,1.4404169528930288,0.6571600294998122,65.37958,15.48378,29.87294
SBG,-0.2803233659610607,0.058230257609887315,9.527057,12.60961,13.36567
AGN,-0.5174889890304027,0.6182046854956424,10.59379,17.77436,32.98199
SBG,0.49587882169840725,-0.20170833258068094,73.89171,45.00267,36.78218
AGN,0.6921313148404795,0.8394261532147014,29.2213,14.6255,33.85859
SBG,0.1573119984596984,-1.106815796773653,69.46999,59.35776,19.62427
SBG,-0.5171008169821348,-0.3834134346453594,5.097695,8.549641,5.826846
SBG,-0.4323358789254184,-0.40836798340890024,25.44993,39.21459,26.06728
SBG,-0.32887110215558024,-0.25963123563499046,60.71437,84.35647,65.06718
SBG,-0.25749895561815955,-0.6502186800173291,32.61141,42.18907,22.01981
SBG,-0.4940231160625151,-1.8078127500669467,7.620573,12.48933,2.048406
SBG,0.16035477946415302,-0.3002554419985851,17.27758,14.71776,10.9004
AGN,0.82912054887605,1.5664458408242128,23.98176,10.46643,50.12996
SBG,-0.7368164721065541,-0.11175879958793532,13.57881,28.36985,25.37002
SBG,-0.24192836318645886,-0.6503986600763947,7.764246,9.889343,5.160632
SBG,0.858058711403209,0.10981519155681797,68.97153,29.24285,32.63712
AGN,1.0484207167726562,2.052834336482254,79.40627,27.83117,216.8034
SBG,-0.6096900357291369,-0.26009809897579567,29.57531,54.41446,41.95224
SBG,0.46190285916310025,-0.5817015959556174,18.0145,11.35064,6.3444
AGN,0.48744851411909995,1.92923485604957,26.62707,16.35412,112.5857
SBG,0.3953271901508503,-0.9369764078353772,12.72847,8.572111,3.358645
SBG,0.34747530582033687,-0.3153703781287204,32.85004,23.20755,16.93034
SBG,-0.995067642939222,-0.4627118716054379,7.685036,20.78731,13.08715
SBG,-1.039104516872181,0.3318095808295334,4.975433,14.06398,19.59798
SBG,0.26314862733489536,0.3714361333113172,1677.05,1289.027,1868.851
AGN,0.3720536762898727,0.7318709834622608,33.66022,23.20257,48.23737
AGN,0.13964532503608063,0.8281713317057158,29.47503,25.63345,58.67827
SBG,-0.6007411545524186,-0.35727529968610455,20.1506,36.74401,25.70537
AGN,-0.3221294141554602,0.7332142860092022,11.44496,15.79477,32.88094
SBG,0.15934526216841396,-0.28728575015986063,20.83754,17.76821,13.33144
SBG,0.23140078933077923,-0.2675254964753672,101.2329,80.32035,61.46682
SBG,0.1555138656286445,0.14716444957809324,18.0705,15.4679,17.92025
SBG,0.3992420807397842,0.05707981659705286,37.66001,25.2634,26.74738
SBG,-0.48004224304888804,-0.612314530340676,13.30833,21.50816,11.65946
SBG,-0.06207989458725283,-0.0871296081975614,11.53381,12.27252,11.24848
SBG,0.14230423103410386,-0.5646088419382044,22.9776,19.92979,11.33173
SBG,0.3522440783104196,0.36293864718566143,43.86828,30.84416,44.33995
SBG,0.054747965572783046,-0.5978527478080033,38.90531,36.83258,20.2576
AGN,-0.12718497014465804,0.1459687978306547,23.4437,26.6233,30.80742
SBG,-0.021841225702756557,0.011074411756012719,24.21485,24.74955,25.02516
SBG,-2.026035196324333,-0.9959533416888464,1.899586,14.40638,5.321301
SBG,0.4813794114169544,0.03701089963940538,50.1059,30.96196,32.12936
SBG,-1.1199438032750413,-0.3739498493748927,2.379612,7.292754,5.017498
AGN,1.459389874747148,0.8610794527665524,86.06137,19.99877,47.31135
SBG,-0.029501883412868045,-0.08027179380214015,10.82649,11.15065,10.29055
SBG,-0.5367769647596586,-1.2329627229229232,29.55208,50.54839,14.73121
SBG,-0.6596492182154025,-0.2927710785605699,9.986031,19.31412,14.41206
SBG,-0.581117170697474,-0.9200099986053628,18.23413,32.60326,12.99289
SBG,-0.9119684341545866,-0.2731843518110272,6.769581,16.85096,12.82278
SBG,-0.20921011938737452,-0.14606866952341302,52.8908,65.1987,56.33809
SBG,-0.7007873545488241,-1.0562362434224062,57.98211,116.8536,40.63727
SBG,0.771132331056972,0.031820814489381205,68.67587,31.76184,32.78878
SBG,0.5214751405565031,0.5469754808566017,70.52354,41.86589,72.34504
SBG,0.0549928227041847,-0.6571352678997384,34.95922,33.08862,17.15096
SBG,-0.19989486276250323,-0.0565285313818454,14.9692,18.2815,17.27674
