plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
1716,608,53827,0.1031191,0,10.62461,1.957726,13.47176,3.341736,11.84232,3.345544,3.60193,2.032943,10.968,2.071587
722,399,52224,0.05837418,0,21.50816,2.144746,36.83075,4.727238,13.30833,4.729682,5.709657,2.121179,11.65946,2.168609
2275,484,53709,0.01914381,0,2065.378,33.08986,0.0,-0.8890643,0.0,-0.8890643,1685.357,12.24123,4923.3,31.60175
1200,24,52668,0.008841419,0,56.09912,3.188656,0.0,-0.8204454,0.0,-0.8204454,31.09694,3.448238,84.19243,3.63537
2163,58,53823,0.01839796,0,77.63196,5.416855,0.0,-0.8081567,0.0,-0.8081567,36.43105,5.710546,181.0421,6.445644
969,224,52442,0.06512441,0,12.27252,1.928987,12.99467,3.97804,11.53381,3.43016,3.783125,1.939751,11.24848,2.062597
1171,272,52753,0.1824979,0,19.92979,3.65426,44.73069,6.848669,22.9776,6.859166,6.647418,3.960959,11.33173,3.467207
1065,32,52586,0.3590329,0,30.84416,5.904077,8.498122,9.970427,43.86828,9.710442,2.368098,5.29246,44.33995,6.723456
1746,194,53062,0.0762822,0,28.36985,2.970899,43.66607,7.162331,13.57881,7.022832,-1.646101,2.889058,25.37002,3.092567
534,344,51997,0.05200284,0,9.889343,1.71058,10.88132,3.279728,7.764246,3.236934,3.224804,1.959086,5.160632,1.804976
412,338,52258,0.2125439,0,29.24285,5.748058,16.43617,7.239897,68.97153,7.271933,8.298368,3.222356,32.63712,3.053673
1723,58,53905,0.05429473,0,24.57549,3.151552,17.50164,8.222845,34.47139,8.677403,8.204854,3.162612,29.60764,3.415898
2592,364,54178,0.1006333,0,16.14477,2.531633,16.32351,4.172852,27.69852,4.192657,5.580681,2.861954,14.34213,2.671196
2418,116,53794,0.03474463,0,41.7731,3.257774,39.32443,10.39829,57.12754,10.68723,53.40122,3.887604,165.9204,4.529951
486,231,51910,0.03938571,0,169.884,4.918615,123.5836,14.11223,175.2722,14.24378,63.72744,5.053258,226.8898,5.852939
2196,478,53534,0.04346136,0,27.98752,3.935982,38.52076,7.457105,45.63221,7.612056,21.09699,4.305798,28.19438,4.45745
1813,515,53903,0.03405247,0,71.20376,3.332458,40.53474,6.033217,53.86485,6.213367,16.05078,3.542162,37.00143,3.650901
1948,406,53388,0.1006064,0,21.75725,2.505435,61.29658,5.616806,55.59793,5.498003,13.45196,2.899183,39.17551,2.893682
574,275,52355,0.1483982,0,64.29552,3.669543,33.93477,4.530574,79.17458,4.764032,13.03723,2.833359,48.9543,2.86482
1811,16,53533,0.1408546,0,16.85415,3.339929,43.27304,6.882659,23.88853,6.817147,-2.210933,3.223506,9.365255,3.372984
2232,129,53827,0.0613012,0,112.6108,3.184824,40.18463,5.587309,61.80074,5.612035,10.5637,2.313771,39.2832,2.574799
367,12,51997,0.1156163,0,14.15343,1.840013,19.86512,3.870252,12.87849,3.813042,4.460108,1.850289,12.12794,2.059604
2590,404,54175,0.04640438,0,79.57373,2.806943,22.55025,4.226078,42.96786,4.36665,4.693257,2.278416,27.36003,2.54246
1269,606,52937,0.07949325,0,38.49546,2.524691,25.38798,5.216051,26.61209,5.022441,2.307634,2.68585,32.2515,2.800119
2663,596,54234,0.1456286,0,20.3026,2.426342,30.61674,6.21447,66.70404,6.475347,8.12181,3.560201,33.65672,3.459988
