plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,oi_6300_flux,oi_6300_flux_err,oiii_5007_flux,oiii_5007_flux_err
1943,331,53386,0.1131284,0,21.50594,2.718207,253.2429,5.183602,330.9908,4.89606,83.13413,3.478894,35.72333,2.546864,46.60999,3.78185
716,221,52203,0.07294288,0,25.7088,2.762439,279.736,5.009529,151.7452,4.103453,57.22042,3.547222,11.54387,2.979647,17.26947,3.075176
2153,430,54212,0.06458873,0,30.15256,2.370669,370.7351,4.761844,177.026,3.395843,72.45686,2.771165,14.9147,2.120321,10.94604,2.474807
2094,450,53851,0.03610217,0,44.78258,2.753474,466.1204,5.875202,405.5953,5.200259,89.22677,3.484868,23.80435,2.891052,51.04034,3.066147
2615,399,54483,0.05824823,0,31.93832,1.94523,320.6465,3.94803,244.5513,3.066798,50.27711,2.113489,13.74105,1.929279,13.1977,2.053859
884,623,52374,0.1191854,0,20.83742,3.879641,212.7471,6.8214,212.3483,6.03619,52.85569,3.675633,19.39157,3.087478,80.27234,4.166926
1008,354,52707,0.1295149,0,27.31643,3.126294,275.6508,5.101406,126.3294,3.968951,45.44824,3.360017,7.715968,2.474198,10.22828,3.202668
722,399,52224,0.05837418,0,21.50816,2.144746,285.1182,3.866727,139.5695,2.728458,52.38946,2.109576,10.88093,1.750916,11.65946,2.168609
1200,24,52668,0.008841419,0,56.09912,3.188656,812.1915,8.037034,722.4324,7.194627,220.9997,5.500568,53.88078,4.165908,84.19243,3.63537
2275,484,53709,0.01914381,0,2065.378,33.08986,204203,30287.76,474.2598,4.153704,710.0889,6.099283,156.7107,2.841191,4923.3,31.60175
2163,58,53823,0.01839796,0,77.63196,5.416855,1257.746,19.36359,1779.637,18.0795,562.8752,10.41465,194.4983,6.86617,181.0421,6.445644
1171,272,52753,0.1824979,0,19.92979,3.65426,214.7056,7.243669,186.8978,5.93543,49.07299,3.976516,12.44947,2.935004,11.33173,3.467207
969,224,52442,0.06512441,0,12.27252,1.928987,134.7766,2.536644,63.97536,2.12156,24.82377,1.734082,7.768863,1.555669,11.24848,2.062597
1065,32,52586,0.3590329,0,30.84416,5.904077,664.2717,107.1991,55.96865,26.54673,-2.574472,17.33065,-7.401724,10.6311,44.33995,6.723456
1599,363,53089,0.1115605,0,15.66308,2.7727,160.7957,4.445335,124.7058,4.273452,23.59672,2.864529,8.021064,2.388627,12.68029,2.945873
1693,97,53446,0.06222546,0,15.48378,3.012884,190.2212,4.907358,214.5043,4.72256,78.24138,3.695787,25.85279,3.098056,29.87294,3.426525
433,98,51873,0.1134417,0,12.60961,2.424389,130.3782,3.759917,70.16039,3.154734,25.24204,2.814702,4.091472,2.15485,13.36567,4.618814
1575,107,53493,0.06844494,0,17.77436,3.192904,178.7965,4.773438,188.3992,4.483936,39.33056,3.543221,16.67781,3.005603,32.98199,3.583444
744,184,52251,0.03981252,0,45.00267,4.923592,451.9799,9.585347,338.9288,8.508451,143.4207,7.395702,21.62487,6.231329,36.78218,5.364644
1831,374,54557,0.0457555,0,59.35776,3.075276,629.3993,7.036069,251.0262,4.258892,128.722,3.519878,24.83732,2.693688,19.62427,2.782463
2361,467,53762,0.1635934,0,14.6255,2.916506,169.2924,5.529464,185.1781,4.311259,30.89431,3.146486,9.469442,2.814549,33.85859,3.216029
671,197,52206,0.271421,0,8.549641,0.9519188,95.91388,18.753,18.08531,1.974479,11.28165,2.511233,4.403341,1.539972,5.826846,1.355646
272,256,51941,0.1693897,0,39.21459,3.761086,398.5433,5.121439,202.9371,3.891202,61.81522,5.057597,11.64869,3.180501,26.06728,3.670741
2232,129,53827,0.0613012,0,112.6108,3.184824,1173.393,11.07571,629.786,5.990822,183.9608,3.770979,39.90013,2.296391,39.2832,2.574799
367,12,51997,0.1156163,0,14.15343,1.840013,150.0449,3.447182,80.3414,2.972676,21.75101,2.305592,5.469782,1.532891,12.12794,2.059604
2590,404,54175,0.04640438,0,79.57373,2.806943,864.4581,8.955694,525.6774,5.441932,152.2234,3.601912,33.71405,2.531538,27.36003,2.54246
1269,606,52937,0.07949325,0,38.49546,2.524691,385.9838,4.735821,299.1263,3.970404,76.73206,4.031567,20.01076,2.385649,32.2515,2.800119
2663,596,54234,0.1456286,0,20.3026,2.426342,242.6291,4.72249,345.7007,4.910211,60.18081,3.925044,21.15113,2.757604,33.65672,3.459988
1627,561,53473,0.1188212,0,33.08862,2.880734,369.5986,6.060093,226.5849,4.932983,63.8757,3.33812,22.40927,2.846718,17.15096,3.028108
620,575,52375,0.1026759,0,18.2815,2.923351,194.8537,5.26337,147.1996,3.978927,29.9811,3.231583,14.43553,2.831111,17.27674,2.904322
2110,173,53467,0.1590137,0,16.24867,2.527212,182.2164,6.888526,93.57867,4.347325,30.06646,3.072563,7.826703,2.932539,13.23579,3.024768
2533,20,54585,0.2340679,0,12.76011,2.114856,144.7331,3.305499,138.3573,3.183408,35.46345,4.573632,15.25609,2.255459,13.3616,2.104584
2609,301,54476,0.1678778,0,29.95193,2.70958,369.2225,4.408985,218.2383,3.375021,100.8095,2.970916,42.62484,2.376197,37.70554,2.809064
1737,252,53055,0.1198503,0,19.28551,3.464271,230.4203,7.407335,141.6024,5.356669,44.541,5.08698,11.661,2.796342,22.64092,3.611479
280,252,51612,0.07372136,0,15.22116,2.297647,168.2704,3.559281,93.69337,2.988453,41.72738,2.608605,10.33751,2.255403,17.19286,2.550443
2654,51,54231,0.04974754,0,18.26722,2.501196,217.5503,4.457583,119.4909,3.66948,44.49893,3.016936,15.41266,2.564026,8.269848,2.590358
1820,88,54208,0.05309332,0,13.95463,2.214092,151.2483,3.94317,248.1594,4.276115,65.13763,3.294487,17.5169,2.741943,49.99461,2.924826
