plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,oi_6300_flux,oi_6300_flux_err,oiii_5007_flux,oiii_5007_flux_err
1924,250,53330,0.1244886,0,269.8918,4.409627,3623.752,669.4268,321.1224,4.308164,166.1716,3.558085,30.88685,2.008668,179.7431,3.978029
915,423,52443,0.1447103,0,20.34086,3.441679,208.94,4.436717,200.6634,4.554822,47.93043,3.670144,15.18049,2.947253,19.59418,4.056978
1970,89,53386,0.2065804,0,36.74401,3.578556,417.9505,70.38342,95.83994,4.312345,41.19493,3.826786,9.931022,6.391252,25.70537,2.949713
449,432,51900,0.1459628,0,15.79477,2.948136,172.1906,4.544461,116.2937,3.51542,25.80419,2.972453,4.978579,2.352453,32.88094,2.976415
791,344,52435,0.06876346,0,17.76821,2.889377,179.8081,3.779322,108.0384,3.094192,32.46577,2.63386,9.749905,2.113247,13.33144,2.802834
1006,2,52708,0.06489746,0,80.32035,4.151085,876.0564,9.020413,807.1158,7.963477,207.4993,5.200474,61.9555,3.927489,61.46682,4.540387
1872,614,53386,0.1134044,0,15.4679,2.26821,156.6932,3.60918,122.582,3.328731,26.82999,2.894221,7.242377,2.053107,17.92025,3.360297
506,131,52022,0.1011238,0,25.2634,2.852506,326.8794,4.922868,191.0916,4.634331,53.55792,3.508636,6.964397,2.76461,26.74738,3.08772
1746,194,53062,0.0762822,0,28.36985,2.970899,346.4362,5.027868,258.2155,4.342795,71.38857,3.333394,27.60308,2.730375,25.37002,3.092567
534,344,51997,0.05200284,0,9.889343,1.71058,103.5519,2.614836,44.03344,2.191396,18.61858,1.743996,4.98713,1.583546,5.160632,1.804976
412,338,52258,0.2125439,0,29.24285,5.748058,304.1141,6.45614,178.5485,5.565371,63.74715,4.116248,23.82338,4.02728,32.63712,3.053673
669,307,52559,0.3712655,0,10.26039,1.787541,141.2399,8.994951,56.02686,6.095729,1335.88,11957.13,-9.489087,8.157477,12.32574,2.649761
739,186,52520,0.06272379,0,47.77025,3.106365,492.8199,6.275039,296.6177,4.877409,109.7053,3.87407,39.11657,3.127487,30.24186,3.549721
2760,151,54506,0.09443138,0,13.14633,2.072821,150.1022,3.115803,124.3554,2.906118,36.53683,2.657529,12.5687,2.23981,11.00545,2.366254
1875,323,54453,0.03860724,0,20.80641,4.085865,209.9367,4.439818,113.725,3.949086,56.20755,3.596226,8.016799,3.10055,24.79607,3.972782
1269,368,52937,0.2869157,0,18.32389,3.156729,189.3688,10.79699,92.93718,8.247956,17.38207,10.65192,8.123899,3.380708,16.11032,2.269399
939,225,52636,0.02782699,0,57.87104,2.881205,618.1323,6.607774,626.03,6.251127,121.9864,4.25031,40.0806,3.29085,40.05906,3.055629
2295,621,53734,0.1071873,0,16.01551,2.564898,188.0425,4.46956,128.3331,4.043077,34.50975,3.24389,11.87963,2.705007,16.28243,2.866055
346,623,51693,0.08448629,0,20.88672,2.508904,223.623,3.361109,241.6498,3.476565,49.13775,3.611025,25.09695,2.922067,52.8728,3.06241
2794,158,54537,0.08598077,0,11.51039,1.861301,115.3851,2.642457,70.28166,2.325141,18.85125,2.101166,3.859558,1.916578,7.602014,1.99665
