plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
620,575,52375,0.1026759,0,147.1996,3.978927,18.2815,2.923351,194.8537,5.26337,29.90062,5.060409,14.9692,5.141744,4.751254,2.787287,17.27674,2.904322
2110,173,53467,0.1590137,0,93.57867,4.347325,16.24867,2.527212,182.2164,6.888526,8.355171,4.010669,21.80423,4.031619,7.207828,2.665784,13.23579,3.024768
2533,20,54585,0.2340679,0,138.3573,3.183408,12.76011,2.114856,144.7331,3.305499,20.13329,3.320059,21.17388,3.366683,0.9369726,1.833338,13.3616,2.104584
1737,252,53055,0.1198503,0,141.6024,5.356669,19.28551,3.464271,230.4203,7.407335,8.243104,6.113654,30.25916,6.224291,5.635904,3.485024,22.64092,3.611479
2609,301,54476,0.1678778,0,218.2383,3.375021,29.95193,2.70958,369.2225,4.408985,50.09777,5.498957,77.43586,5.025222,16.73142,2.673469,37.70554,2.809064
280,252,51612,0.07372136,0,93.69337,2.988453,15.22116,2.297647,168.2704,3.559281,3.353483,4.024023,25.14282,3.961903,5.673451,2.441556,17.19286,2.550443
2654,51,54231,0.04974754,0,119.4909,3.66948,18.26722,2.501196,217.5503,4.457583,9.297065,6.633521,24.15774,6.684235,0.3536653,2.495707,8.269848,2.590358
1820,88,54208,0.05309332,0,248.1594,4.276115,13.95463,2.214092,151.2483,3.94317,-0.6289184,9.174938,21.44423,9.976894,17.24271,2.631337,49.99461,2.924826
1300,508,52973,0.06387475,0,318.2511,4.365511,27.49252,2.599252,435.0874,5.371321,18.45317,4.394199,23.27784,4.424176,4.156413,2.598057,26.04684,2.899796
2139,351,53878,0.1298735,0,70.4053,2.958905,13.03559,2.456224,133.2384,3.270092,23.77577,4.074317,12.96064,4.070034,7.165664,2.458908,9.899026,2.55794
301,91,51942,0.1063117,0,131.3685,4.546105,21.98931,2.384295,225.1844,3.757578,19.39866,4.772176,14.57051,4.622288,7.204315,2.403639,18.4718,2.508632
2297,283,53738,0.1627362,0,54.8404,3.418964,16.07402,2.345543,163.1211,5.161557,11.0139,3.191258,4.77622,2.977899,0.488632,2.603364,5.044962,2.616811
2125,297,53795,0.1172307,0,246.6277,4.387228,37.79837,3.004606,379.2017,6.298051,32.01362,5.661829,21.33455,5.505361,11.29351,2.867886,19.77307,2.995727
1019,261,52707,0.008177739,0,16486.71,105.3869,8340.336,76.26853,164078.1,11730.39,0.0,-0.8677735,0.0,-0.8677735,2265.867,39.68792,6863.945,70.69194
859,600,52317,0.0780323,0,249.2848,3.918852,23.92271,2.729911,251.8323,4.234592,19.90911,5.553609,21.53209,5.369237,5.260998,2.946217,14.8912,2.978277
2597,442,54231,0.003003062,0,1455.02,21.16237,76.51117,6.386838,1010.377,18.33182,0.0,-0.7320216,0.0,-0.7320216,113.7499,9.048084,295.3256,10.39771
1556,13,53740,0.1745997,0,39.04755,1.753011,11.3136,1.842109,113.282,4.32095,10.78285,2.432884,16.09554,2.550919,2.675262,2.239976,11.90829,2.098809
893,6,52589,0.1650247,0,203.6407,4.741178,19.25908,2.921396,201.541,5.082927,49.76725,5.100693,2.625362,4.812797,-2.150855,3.213932,20.3906,3.562133
728,71,52520,0.04665691,0,148.3933,3.492053,16.34222,2.69024,175.6354,4.221559,-7.465721,6.44408,11.95743,6.762363,0.3638549,2.566528,3.762913,2.602035
883,75,52430,0.05702923,0,946.6678,13.96683,56.90227,7.006011,572.3018,14.91785,96.37612,17.94287,336.4706,17.88246,38.50309,7.128652,128.6012,7.61803
1847,192,54176,0.07344827,0,192.6998,5.066791,16.11773,2.966092,228.4629,5.527992,25.53571,7.582129,30.96259,7.78662,5.053804,3.194031,25.15416,3.370515
882,589,52370,0.06315915,0,568.2493,6.252295,83.10341,3.066301,832.7147,8.772003,66.32796,5.470592,69.20274,5.403584,25.56385,3.270986,68.87142,3.560325
2017,2,53474,0.09926645,0,529.7087,11.89886,63.76698,8.751252,641.3117,14.30372,126.0808,13.00214,173.169,13.296,52.61229,6.73063,169.1779,7.336672
2035,251,53436,0.1526686,0,129.4313,9.960434,42.03484,2.789276,427.1484,58.8157,26.21103,3.920097,24.22741,3.928371,4.884665,2.664798,18.44106,3.158289
2884,440,54526,0.05504708,0,689.6659,10.0362,37.43126,4.151106,514.2588,9.696898,87.50369,8.191687,80.90411,8.286612,30.94136,5.0699,83.55623,5.32382
674,350,52201,0.1306821,0,180.0754,3.663958,22.30707,2.652433,231.711,3.95083,24.71005,4.083565,3.647267,3.846108,3.622196,2.653094,13.22283,2.749393
1924,250,53330,0.1244886,0,321.1224,4.308164,269.8918,4.409627,3623.752,669.4268,236.7959,6.394338,218.7217,6.268974,31.45184,16.93876,179.7431,3.978029
1358,7,52994,0.06381465,0,193.3537,3.749121,17.10256,2.142676,277.0282,4.434088,4.029325,4.24554,12.83392,4.42583,6.92985,2.463134,7.019761,2.435125
297,343,51959,0.01842461,0,1226.406,15.3072,135.9731,6.041052,1465.977,17.42972,0.0,-0.8399004,0.0,-0.8399004,48.00372,6.181853,144.1201,7.168422
450,522,51908,0.1447751,0,196.5312,3.01043,13.87319,2.349983,165.3728,3.143878,51.51871,4.492857,31.08626,4.471889,31.92612,2.718146,108.9367,3.023962
2121,42,54180,0.0252461,0,1192.35,11.29363,176.6336,4.789598,1830.461,16.15401,52.88446,12.27832,89.46934,21.39617,26.76053,4.13523,94.50802,4.633356
484,413,51907,0.1353533,0,124.0307,4.065486,17.60592,2.933903,181.147,3.733352,14.172,5.487361,20.91619,5.365299,2.107413,2.832039,11.138,3.457733
669,307,52559,0.3712655,0,56.02686,6.095729,10.26039,1.787541,141.2399,8.994951,12.99688,4.268489,13.63166,4.259965,2.392159,1.507774,12.32574,2.649761
739,186,52520,0.06272379,0,296.6177,4.877409,47.77025,3.106365,492.8199,6.275039,68.68811,7.668939,10.59278,8.627228,16.33309,3.382737,30.24186,3.549721
2760,151,54506,0.09443138,0,124.3554,2.906118,13.14633,2.072821,150.1022,3.115803,18.43899,5.227704,14.74856,5.293701,3.11454,2.254542,11.00545,2.366254
1269,368,52937,0.2869157,0,92.93718,8.247956,18.32389,3.156729,189.3688,10.79699,24.02368,5.633382,13.61021,5.467824,5.198426,2.370023,16.11032,2.269399
1875,323,54453,0.03860724,0,113.725,3.949086,20.80641,4.085865,209.9367,4.439818,24.72858,13.26136,40.67757,13.02354,8.015426,4.027045,24.79607,3.972782
1556,260,53740,0.1068594,0,143.0202,2.703019,10.1602,1.761289,104.7562,2.251866,7.925836,3.522017,19.14905,3.598014,10.95864,1.919692,29.07904,2.190305
767,305,52252,0.06690872,0,68.86478,2.501005,9.854728,1.94749,137.564,3.163191,33.98752,4.757159,40.69149,4.753601,3.767727,2.065985,14.10443,2.246156
997,68,52734,0.073213,0,460.8902,8.961295,50.91853,4.862622,512.1575,9.249936,43.66186,10.92554,77.8386,10.84102,17.19485,5.559613,53.09262,5.798069
1859,76,53177,0.1604249,0,54.79669,2.89559,12.32129,2.233844,126.4859,4.335854,10.51899,4.098467,13.68085,3.966486,3.323398,2.454258,8.011651,2.708972
1305,330,52757,0.1065982,0,124.5329,4.668389,19.46828,3.317687,237.5748,5.207807,21.89991,5.766396,28.60631,5.766486,7.175732,3.302878,15.77174,3.426349
698,308,52203,0.08382383,0,350.9912,4.647208,26.16934,2.721846,369.427,5.083967,15.13505,5.948381,13.13535,5.846426,8.910133,2.660948,28.77113,2.880898
1576,233,53496,0.07424611,0,187.1374,3.785786,23.88399,2.580182,256.7267,4.414316,14.77089,5.359148,26.0139,5.318178,9.581884,2.603694,15.12526,2.662017
586,321,52023,0.0876407,0,362.7784,4.624422,63.07832,2.907393,644.4855,6.475851,50.28304,5.532008,39.11581,5.43617,24.48192,2.843785,58.24489,3.107138
1372,197,53062,0.1266404,0,124.2702,4.062316,15.19091,2.98812,167.7756,4.976266,15.59838,4.486673,18.21189,4.599935,2.79468,3.210302,11.45808,3.11872
1051,152,52468,0.0611949,0,77.50794,3.645457,15.57077,2.848614,170.3857,4.38858,1.555488,5.716958,9.028142,5.772933,7.108873,2.740639,11.79576,2.828723
1434,52,53053,0.09207767,0,350.4651,4.298481,46.95291,3.02034,482.577,5.272648,61.07071,6.568407,32.58918,6.494057,15.71354,2.991204,57.70082,3.483903
1943,331,53386,0.1131284,0,330.9908,4.89606,21.50594,2.718207,253.2429,5.183602,48.13859,6.162503,69.37425,6.259494,7.691958,2.772458,46.60999,3.78185
761,526,54524,0.1360129,0,246.9206,3.599962,38.4168,2.193986,415.6072,4.498219,34.17391,3.677049,49.12487,3.814727,12.17845,2.110321,30.35016,2.778428
1400,125,53470,0.05761975,0,427.833,4.857574,44.68433,2.78697,465.7853,5.394639,45.22685,6.21821,33.05698,5.996387,17.34679,3.041442,55.63598,3.206604
2570,298,54081,0.1177513,0,236.2164,4.147603,21.11319,2.913816,240.6526,4.763107,67.03746,7.948081,33.14558,7.642982,11.82302,3.259399,47.07645,3.275495
2420,157,54086,0.1001944,0,39.06207,4.384495,8.212365,1.476752,96.99937,1.901704,8.998493,2.656721,5.159906,2.718926,-0.2749076,1.407987,2.908383,1.416832
776,633,52319,0.1562403,0,435.1895,11.01183,45.67687,7.012038,641.841,13.14846,32.72359,10.48773,137.3951,10.67386,120.9519,6.625692,369.0732,8.542867
483,143,51924,0.08527225,0,142.8848,4.716466,31.37209,3.28456,320.319,5.872143,11.12288,7.96463,37.57319,7.577333,10.46159,3.383135,17.50883,3.382069
727,2,52207,0.1754174,0,52.54585,3.575179,20.49483,3.363243,255.1355,30.62844,5.37422,5.480162,11.4082,5.974912,6.6104,4.4478,2.294868,5.047808
1865,638,53312,0.06841437,0,100.5452,2.982547,12.90144,2.357566,148.875,3.535539,24.03028,5.013916,27.65367,5.432201,4.841871,2.439221,6.215332,2.50474
1723,58,53905,0.05429473,0,148.6588,3.983511,24.57549,3.151552,248.2952,4.871817,17.50164,8.222845,34.47139,8.677403,8.204854,3.162612,29.60764,3.415898
2592,364,54178,0.1006333,0,104.4657,3.661875,16.14477,2.531633,183.2491,3.682238,16.32351,4.172852,27.69852,4.192657,5.580681,2.861954,14.34213,2.671196
2418,116,53794,0.03474463,0,589.8936,7.623577,41.7731,3.257774,521.4524,7.997778,39.32443,10.39829,57.12754,10.68723,53.40122,3.887604,165.9204,4.529951
486,231,51910,0.03938571,0,2386.69,14.4588,169.884,4.918615,1990.729,14.72696,123.5836,14.11223,175.2722,14.24378,63.72744,5.053258,226.8898,5.852939
2196,478,53534,0.04346136,0,353.3061,8.059059,27.98752,3.935982,391.719,7.924871,38.52076,7.457105,45.63221,7.612056,21.09699,4.305798,28.19438,4.45745
1813,515,53903,0.03405247,0,608.1939,7.477445,71.20376,3.332458,782.3171,8.705735,40.53474,6.033217,53.86485,6.213367,16.05078,3.542162,37.00143,3.650901
1948,406,53388,0.1006064,0,334.3029,4.887363,21.75725,2.505435,218.1286,4.020141,61.29658,5.616806,55.59793,5.498003,13.45196,2.899183,39.17551,2.893682
574,275,52355,0.1483982,0,296.2714,3.854605,64.29552,3.669543,643.2389,5.898631,33.93477,4.530574,79.17458,4.764032,13.03723,2.833359,48.9543,2.86482
1811,16,53533,0.1408546,0,127.917,3.81306,16.85415,3.339929,216.1947,4.666712,43.27304,6.882659,23.88853,6.817147,-2.210933,3.223506,9.365255,3.372984
851,456,52376,0.1352257,0,205.6923,4.440039,25.1868,2.884511,256.6406,4.595262,33.01063,4.369327,38.49025,4.29449,5.412974,3.172264,16.38929,3.540346
2758,551,54523,0.07800347,0,234.6593,3.710487,16.80149,2.800516,181.7396,3.605705,64.79034,5.698751,58.70935,5.485015,8.242137,3.02584,31.54641,3.116965
2274,364,53726,0.09160618,0,317.5376,3.312216,44.5106,2.32579,479.9265,4.13362,34.68467,4.43882,36.12391,4.447652,10.09983,2.353815,26.39867,2.642726
1989,140,53772,0.08536381,0,198.3442,3.862016,27.35638,2.909671,274.9835,4.555588,11.98757,6.554755,33.9875,6.541682,2.615405,2.741711,18.78704,2.894048
1656,485,53533,0.1754296,0,132.1526,7.099853,22.12329,3.936487,242.367,14.16754,9.193316,8.132367,32.95074,8.38964,23.37359,5.400233,69.12602,5.885024
400,366,51820,0.07960193,0,220.9405,4.256491,24.82089,3.072977,261.4767,4.718769,14.03242,6.003881,18.31434,6.323816,7.828336,3.237245,8.06674,3.250629
1994,345,53845,0.130492,0,91.3699,2.9442,15.20256,2.416394,153.2352,3.194974,7.952548,3.911881,12.63591,3.543229,2.280626,2.384965,4.374231,2.516917
1156,121,52641,0.1369437,0,10.56774,3.463776,13.41567,2.057531,180.7675,4.234415,18.35678,5.18897,19.44532,5.24993,2.007915,2.349717,21.57071,3.669126
296,319,51984,0.03347733,0,376.6184,4.631546,40.49438,3.072611,472.7916,5.362268,31.69977,9.600342,41.51744,9.903879,11.25383,3.049513,19.09305,3.237986
2024,607,53503,0.07684467,0,157.5005,3.07258,11.87474,2.333908,138.8899,3.13278,28.7926,5.791359,18.12459,5.571598,4.181345,2.381828,18.16119,2.470831
1739,77,53050,0.03041632,0,91.91428,2.651707,14.08316,2.790284,157.4961,3.409344,34.85719,7.283716,25.80617,7.175267,27.31502,2.687359,82.32294,3.289908
288,618,52000,0.09861849,0,179.5024,4.834087,14.59263,2.907769,180.5883,4.437369,31.25337,7.192751,-7.80151,7.331061,8.36303,3.313843,31.81257,3.57243
2665,76,54232,0.1076143,0,51.66849,2.754203,11.15787,2.172225,115.3059,5.04457,3.655224,5.25374,20.11199,5.325586,-0.9475074,2.189747,10.66824,2.514
675,517,52590,0.1266642,0,525.9361,4.363842,88.57381,2.701835,904.1039,6.700402,47.33731,4.153119,40.77748,4.137743,7.72143,2.505805,33.96565,2.645682
2202,316,53566,0.3634332,0,71.68934,4.718266,9.245414,1.380004,123.2067,10.51939,11.45687,1.846583,4.304934,1.723836,7.175042,1.254467,28.8772,1.799747
999,476,52636,0.05276103,0,608.8552,11.73704,76.29758,5.639845,792.8019,13.61066,106.4505,13.26609,72.04348,13.29545,43.45433,5.903917,114.6015,6.178582
